Username,Rating,Review Text,casefolding,normalisasi,tokenize,stopword,stemming
fathony arief,1,saya ganti nomer akun untuk my pertamina dan linkaja tapi pas masuk malah disuruh buat akun baru pakai nomer baru tersebut masuk pakai nomer lama yg sudah tak ada fisiknya coba ditampilan awal ada tambahan buat akun email juga mungkin lebih mudah njir lah nepotisme,saya ganti nomer akun untuk my pertamina dan linkaja tapi pas masuk malah disuruh buat akun baru pakai nomer baru tersebut masuk pakai nomer lama yg sudah tak ada fisiknya coba ditampilan awal ada tambahan buat akun email juga mungkin lebih mudah njir lah nepotisme,saya ganti nomer akun untuk my pertamina dan linkaja tapi pas masuk malah disuruh buat akun baru pakai nomer baru tersebut masuk pakai nomer lama yang sudah tak ada fisiknya coba ditampilan awal ada tambahan buat akun email juga mungkin lebih mudah anjir lah nepotisme,"['saya', 'ganti', 'nomer', 'akun', 'untuk', 'my', 'pertamina', 'dan', 'linkaja', 'tapi', 'pas', 'masuk', 'malah', 'disuruh', 'buat', 'akun', 'baru', 'pakai', 'nomer', 'baru', 'tersebut', 'masuk', 'pakai', 'nomer', 'lama', 'yang', 'sudah', 'tak', 'ada', 'fisiknya', 'coba', 'ditampilan', 'awal', 'ada', 'tambahan', 'buat', 'akun', 'email', 'juga', 'mungkin', 'lebih', 'mudah', 'anjir', 'lah', 'nepotisme']","['ganti', 'nomer', 'akun', 'my', 'pertamina', 'linkaja', 'pas', 'masuk', 'disuruh', 'akun', 'pakai', 'nomer', 'masuk', 'pakai', 'nomer', 'fisiknya', 'coba', 'ditampilan', 'tambahan', 'akun', 'email', 'mudah', 'anjir', 'nepotisme']","ganti, nomer, akun, my, pertamina, linkaja, pas, masuk, suruh, akun, pakai, nomer, masuk, pakai, nomer, fisik, coba, tampil, tambah, akun, email, mudah, anjir, nepotisme"
yun kpg,5,Saya ganti Hp Tapi kok linkaja tidak bisa diinstal d hp baru saya kenapa ya,saya ganti hp tapi kok linkaja tidak bisa diinstal d hp baru saya kenapa ya,sayang ganti hp tapi kok linkaja tidiak bisa diiinstal di hp baru sayang kenapa yang,"['sayang', 'ganti', 'hp', 'tapi', 'kok', 'linkaja', 'tidiak', 'bisa', 'diiinstal', 'di', 'hp', 'baru', 'sayang', 'kenapa', 'yang']","['sayang', 'ganti', 'hp', 'linkaja', 'tidiak', 'diiinstal', 'hp', 'sayang']","sayang, ganti, hp, linkaja, tidiak, diiinstal, hp, sayang"
Asep Soppyan,2,Uang saya nyangkut gagal transfer ngadu live yang bales bot hadeuh masih jauh dari kata bagus apk ini,uang saya nyangkut gagal transfer ngadu live yang bales bot hadeuh masih jauh dari kata bagus apk ini,uang saya nyangkut gagal transfer mengadu live yang balas bot aduh masih jauh dari kata bagus apk ini,"['uang', 'saya', 'nyangkut', 'gagal', 'transfer', 'mengadu', 'live', 'yang', 'balas', 'bot', 'aduh', 'masih', 'jauh', 'dari', 'kata', 'bagus', 'apk', 'ini']","['uang', 'nyangkut', 'gagal', 'transfer', 'mengadu', 'live', 'balas', 'bot', 'aduh', 'bagus', 'apk']","uang, nyangkut, gagal, transfer, adu, live, balas, bot, aduh, bagus, apk"
Bustam Alamsyah,1,Tidak bisa login karena lupa Password Email Tidak ada solusi dari pihak LinkAja susah jadinya maka nya Ratingnya jelek,tidak bisa login karena lupa password email tidak ada solusi dari pihak linkaja susah jadinya maka nya ratingnya jelek,tidak bisa login karena lupa password email tidak ada solusi dari pihak linkaja susah jadiya maka ya ratingya jelek,"['tidak', 'bisa', 'login', 'karena', 'lupa', 'password', 'email', 'tidak', 'ada', 'solusi', 'dari', 'pihak', 'linkaja', 'susah', 'jadiya', 'maka', 'ya', 'ratingya', 'jelek']","['login', 'lupa', 'password', 'email', 'solusi', 'linkaja', 'susah', 'jadiya', 'ratingya', 'jelek']","login, lupa, password, email, solusi, linkaja, susah, jadiya, ratingya, jelek"
Eko Setia,1,Kembalikan uang saya sudah hari kerja lewat masih belum dikembalikan Bagaimana tanggung jawabnya Top up saldo saya bayar cash giliran ada masalah berbelit belit Saya butuh saldo saya balik tanggung jawab dong linkaja Saya minta hak saya tapi kaya pengemis gara apk ini Tolong OJK di tindak saja apk seperti ini,kembalikan uang saya sudah hari kerja lewat masih belum dikembalikan bagaimana tanggung jawabnya top up saldo saya bayar cash giliran ada masalah berbelit belit saya butuh saldo saya balik tanggung jawab dong linkaja saya minta hak saya tapi kaya pengemis gara apk ini tolong ojk di tindak saja apk seperti ini,kembalikan uang saya sudah hari kerja lewat masih belum dikembalikan bagaimana tanggung jawabnya top up saldo saya bayar cash giliran ada masalah berbelit belit saya butuh saldo saya balik tanggung jawab dong linkaja saya meminta hak saya tapi kayak pengemis gara apk ini tolong ojk di tindak saja apk seperti ini,"['kembalikan', 'uang', 'saya', 'sudah', 'hari', 'kerja', 'lewat', 'masih', 'belum', 'dikembalikan', 'bagaimana', 'tanggung', 'jawabnya', 'top', 'up', 'saldo', 'saya', 'bayar', 'cash', 'giliran', 'ada', 'masalah', 'berbelit', 'belit', 'saya', 'butuh', 'saldo', 'saya', 'balik', 'tanggung', 'jawab', 'dong', 'linkaja', 'saya', 'meminta', 'hak', 'saya', 'tapi', 'kayak', 'pengemis', 'gara', 'apk', 'ini', 'tolong', 'ojk', 'di', 'tindak', 'saja', 'apk', 'seperti', 'ini']","['kembalikan', 'uang', 'kerja', 'dikembalikan', 'tanggung', 'top', 'up', 'saldo', 'bayar', 'cash', 'giliran', 'berbelit', 'belit', 'butuh', 'saldo', 'tanggung', 'linkaja', 'hak', 'kayak', 'pengemis', 'gara', 'apk', 'tolong', 'ojk', 'tindak', 'apk']","kembali, uang, kerja, kembali, tanggung, top, up, saldo, bayar, cash, gilir, belit, belit, butuh, saldo, tanggung, linkaja, hak, kayak, emis, gara, apk, tolong, ojk, tindak, apk"
Ganika Diristiani,1,udah lama pakai linkaja awalnya baik baik saja tapi top up berhasil saldo tidak tambah di komplinnya susah banget tidak seperti aplikasi lainnya,udah lama pakai linkaja awalnya baik baik saja tapi top up berhasil saldo tidak tambah di komplinnya susah banget tidak seperti aplikasi lainnya,sudah lama pakai linkaja awalnya baik baik saja tapi top up berhasil saldo tidak tambah di komplinnya susah banget tidak seperti aplikasi lainnya,"['sudah', 'lama', 'pakai', 'linkaja', 'awalnya', 'baik', 'baik', 'saja', 'tapi', 'top', 'up', 'berhasil', 'saldo', 'tidak', 'tambah', 'di', 'komplinnya', 'susah', 'banget', 'tidak', 'seperti', 'aplikasi', 'lainnya']","['pakai', 'linkaja', 'top', 'up', 'berhasil', 'saldo', 'komplinnya', 'susah', 'banget', 'aplikasi']","pakai, linkaja, top, up, hasil, saldo, komplinnya, susah, banget, aplikasi"
Nur Ali,5,Bagus untuk pembayaran,bagus untuk pembayaran,bagus untuk pembayaran,"['bagus', 'untuk', 'pembayaran']","['bagus', 'pembayaran']","bagus, bayar"
Mochamad Ridwan,1,Update ke premium lama bgt,update ke premium lama bgt,update ke premium lama banget,"['update', 'ke', 'premium', 'lama', 'banget']","['update', 'premium', 'banget']","update, premium, banget"
raider 17,3,beberapa hari ini aplikasi errortidak bisa isi saldo maupun transaksi apapun segera diperbaiki,beberapa hari ini aplikasi errortidak bisa isi saldo maupun transaksi apapun segera diperbaiki,beberapa hari ini aplikasi errortidak bisa isi saldo maupun transaksi apapun segera diperbaiki,"['beberapa', 'hari', 'ini', 'aplikasi', 'errortidak', 'bisa', 'isi', 'saldo', 'maupun', 'transaksi', 'apapun', 'segera', 'diperbaiki']","['aplikasi', 'errortidak', 'isi', 'saldo', 'transaksi', 'apapun', 'diperbaiki']","aplikasi, errortidak, isi, saldo, transaksi, apa, baik"
Benyamin Nasution,5,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
Devina Masdar,5,Top up dari bank namun tidak masuk sedang di proses apa saldo akan masuk apa kembali lgi ke pemilik bank itu yh Tolong penjelasannya nya kak,top up dari bank namun tidak masuk sedang di proses apa saldo akan masuk apa kembali lgi ke pemilik bank itu yh tolong penjelasannya nya kak,top up dari bank namun tidak masuk sedang di proses apa saldo akan masuk apa kembali lagi ke pemilik bank itu ya tolong penjelasanya ya kak,"['top', 'up', 'dari', 'bank', 'namun', 'tidak', 'masuk', 'sedang', 'di', 'proses', 'apa', 'saldo', 'akan', 'masuk', 'apa', 'kembali', 'lagi', 'ke', 'pemilik', 'bank', 'itu', 'ya', 'tolong', 'penjelasanya', 'ya', 'kak']","['top', 'up', 'bank', 'masuk', 'proses', 'saldo', 'masuk', 'pemilik', 'bank', 'tolong', 'penjelasanya', 'kak']","top, up, bank, masuk, proses, saldo, masuk, milik, bank, tolong, jasa, kak"
Safarijal,1,Pelayan sangat buruk jika ada terjadi kendala live chat lama kali respon dan tidak bisa mempertimbang kan castemer nya Tidak bisa di hub setiap saat,pelayan sangat buruk jika ada terjadi kendala live chat lama kali respon dan tidak bisa mempertimbang kan castemer nya tidak bisa di hub setiap saat,pelayan sangat buruk jika ada terjadi kendala live chat lama kali respon dan tidak bisa mempertimbang kan castemer ya tidak bisa di hubungan setiap saat,"['pelayan', 'sangat', 'buruk', 'jika', 'ada', 'terjadi', 'kendala', 'live', 'chat', 'lama', 'kali', 'respon', 'dan', 'tidak', 'bisa', 'mempertimbang', 'kan', 'castemer', 'ya', 'tidak', 'bisa', 'di', 'hubungan', 'setiap', 'saat']","['pelayan', 'buruk', 'kendala', 'live', 'chat', 'kali', 'respon', 'mempertimbang', 'castemer', 'hubungan']","layan, buruk, kendala, live, chat, kali, respon, timbang, castemer, hubung"
Saefhayani,5,Linkaja aman dan nyaman tapi tidak ada fitur login pakai sidik jari dan tidak bisa pakai thema gelap Semoga lebih di kembangkan lagiTerima kasih,linkaja aman dan nyaman tapi tidak ada fitur login pakai sidik jari dan tidak bisa pakai thema gelap semoga lebih di kembangkan lagiterima kasih,linkaja aman dan nyaman tapi tidak ada fitur login pakai sidik jari dan tidak bisa pakai thema gelap semoga lebih di kembangkan lagiterima kasih,"['linkaja', 'aman', 'dan', 'nyaman', 'tapi', 'tidak', 'ada', 'fitur', 'login', 'pakai', 'sidik', 'jari', 'dan', 'tidak', 'bisa', 'pakai', 'thema', 'gelap', 'semoga', 'lebih', 'di', 'kembangkan', 'lagiterima', 'kasih']","['linkaja', 'aman', 'nyaman', 'fitur', 'login', 'pakai', 'sidik', 'jari', 'pakai', 'thema', 'gelap', 'semoga', 'kembangkan', 'lagiterima', 'kasih']","linkaja, aman, nyaman, fitur, login, pakai, sidik, jari, pakai, thema, gelap, moga, kembang, lagiterima, kasih"
Lukman,5,satu kekurangan nya dari apk linkaja yaitu tidak nisa tarik tunai sesuai ke inginan atau secara custom harus nya bisa tarik tunai dengan mengetik sendiri jumlah yang di inginkan jadi lebih leluasa dalam melakukan transaksi tarik tunai,satu kekurangan nya dari apk linkaja yaitu tidak nisa tarik tunai sesuai ke inginan atau secara custom harus nya bisa tarik tunai dengan mengetik sendiri jumlah yang di inginkan jadi lebih leluasa dalam melakukan transaksi tarik tunai,satu kekurangan ya dari apk linkaja yaitu tidak nisa tarik tunai sesuai ke inginan atau secara custom harus ya bisa tarik tunai dengan mengetik sendiri jumlah yang di inginkan jadi lebih leluasa dalam melakukan transaksi tarik tunai,"['satu', 'kekurangan', 'ya', 'dari', 'apk', 'linkaja', 'yaitu', 'tidak', 'nisa', 'tarik', 'tunai', 'sesuai', 'ke', 'inginan', 'atau', 'secara', 'custom', 'harus', 'ya', 'bisa', 'tarik', 'tunai', 'dengan', 'mengetik', 'sendiri', 'jumlah', 'yang', 'di', 'inginkan', 'jadi', 'lebih', 'leluasa', 'dalam', 'melakukan', 'transaksi', 'tarik', 'tunai']","['kekurangan', 'apk', 'linkaja', 'nisa', 'tarik', 'tunai', 'sesuai', 'inginan', 'custom', 'tarik', 'tunai', 'mengetik', 'leluasa', 'transaksi', 'tarik', 'tunai']","kurang, apk, linkaja, nisa, tarik, tunai, sesuai, ingin, custom, tarik, tunai, etik, leluasa, transaksi, tarik, tunai"
dikdik edi rahayu,5,Mudah dan mudah tambah saldolah,mudah dan mudah tambah saldolah,mudah dan mudah tambah saldolah,"['mudah', 'dan', 'mudah', 'tambah', 'saldolah']","['mudah', 'mudah', 'saldolah']","mudah, mudah, saldo"
sandi Romadon,1,Apl tololregistrasi nunggu jam tau nya gagallive chat nya gk gunagk bisa komplain masalah kita,apl tololregistrasi nunggu jam tau nya gagallive chat nya gk gunagk bisa komplain masalah kita,apl tololregistrasi menunggu jam tau ya gagallive chat ya tidak gunatidak bisa komplain masalah kita,"['apl', 'tololregistrasi', 'menunggu', 'jam', 'tau', 'ya', 'gagallive', 'chat', 'ya', 'tidak', 'gunatidak', 'bisa', 'komplain', 'masalah', 'kita']","['apl', 'tololregistrasi', 'menunggu', 'jam', 'tau', 'gagallive', 'chat', 'gunatidak', 'komplain']","apl, tololregistrasi, tunggu, jam, tau, gagallive, chat, gunatidak, komplain"
Lala Hi,1,salah masuk otp langsung main blok akun terblok katanya menit coba masuk lg masih terblok coba lagi besok tetap terblok mendingan uninstal saja apk sampah spt ini,salah masuk otp langsung main blok akun terblok katanya menit coba masuk lg masih terblok coba lagi besok tetap terblok mendingan uninstal saja apk sampah spt ini,salah masuk otp langsung main blok akun terblok katanya menit coba masuk lagi masih terblok coba lagi besok tetap terblok mendingan uninstal saja apk sampah seperti ini,"['salah', 'masuk', 'otp', 'langsung', 'main', 'blok', 'akun', 'terblok', 'katanya', 'menit', 'coba', 'masuk', 'lagi', 'masih', 'terblok', 'coba', 'lagi', 'besok', 'tetap', 'terblok', 'mendingan', 'uninstal', 'saja', 'apk', 'sampah', 'seperti', 'ini']","['salah', 'masuk', 'otp', 'langsung', 'main', 'blok', 'akun', 'terblok', 'menit', 'coba', 'masuk', 'terblok', 'coba', 'besok', 'terblok', 'mendingan', 'uninstal', 'apk', 'sampah']","salah, masuk, otp, langsung, main, blok, akun, blok, menit, coba, masuk, blok, coba, besok, blok, mending, uninstal, apk, sampah"
Dian Pratama,1,Apk maling Haram jadah yg buat apk ini,apk maling haram jadah yg buat apk ini,apk maling haram jadah yang buat apk ini,"['apk', 'maling', 'haram', 'jadah', 'yang', 'buat', 'apk', 'ini']","['apk', 'maling', 'haram', 'jadah', 'apk']","apk, maling, haram, jadah, apk"
Rohan Azie,3,Mau isi saldo di indomart gagal mulu gak dapat kode,mau isi saldo di indomart gagal mulu gak dapat kode,mau isi saldo di indomart gagal mulu tidak dapat kode,"['mau', 'isi', 'saldo', 'di', 'indomart', 'gagal', 'mulu', 'tidak', 'dapat', 'kode']","['isi', 'saldo', 'indomart', 'gagal', 'mulu', 'kode']","isi, saldo, indomart, gagal, mulu, kode"
TU JAYA,1,Sangat buruk Bagi yg mau dompet digital Yg penting bukan linkaja Masih banyak dompet digital yg jauh lebih baik Aplikasi buruk Pelayanan buruk Uang nyangkut tidak ada tindak lanjutnya Nyangkut forever Livechat tidak respon Email juga sama,sangat buruk bagi yg mau dompet digital yg penting bukan linkaja masih banyak dompet digital yg jauh lebih baik aplikasi buruk pelayanan buruk uang nyangkut tidak ada tindak lanjutnya nyangkut forever livechat tidak respon email juga sama,sangat buruk bagi yang mau dompet digital yang penting bukan linkaja masih banyak dompet digital yang jauh lebih baik aplikasi buruk pelayanan buruk uang nyangkut tidak ada tindak lanjutnya nyangkut forever livechat tidak respon email juga sama,"['sangat', 'buruk', 'bagi', 'yang', 'mau', 'dompet', 'digital', 'yang', 'penting', 'bukan', 'linkaja', 'masih', 'banyak', 'dompet', 'digital', 'yang', 'jauh', 'lebih', 'baik', 'aplikasi', 'buruk', 'pelayanan', 'buruk', 'uang', 'nyangkut', 'tidak', 'ada', 'tindak', 'lanjutnya', 'nyangkut', 'forever', 'livechat', 'tidak', 'respon', 'email', 'juga', 'sama']","['buruk', 'dompet', 'digital', 'linkaja', 'dompet', 'digital', 'aplikasi', 'buruk', 'pelayanan', 'buruk', 'uang', 'nyangkut', 'tindak', 'nyangkut', 'forever', 'livechat', 'respon', 'email']","buruk, dompet, digital, linkaja, dompet, digital, aplikasi, buruk, layan, buruk, uang, nyangkut, tindak, nyangkut, forever, livechat, respon, email"
Owi 5320,5,Kalo bisa tf ke bank jangan pake adm kaya dompet sebelah,kalo bisa tf ke bank jangan pake adm kaya dompet sebelah,kalau bisa transfer ke bank jangan pakai adm kayak dompet sebelah,"['kalau', 'bisa', 'transfer', 'ke', 'bank', 'jangan', 'pakai', 'adm', 'kayak', 'dompet', 'sebelah']","['transfer', 'bank', 'pakai', 'adm', 'kayak', 'dompet', 'sebelah']","transfer, bank, pakai, adm, kayak, dompet, belah"
gusti wardani,5,gagal login,gagal login,gagal login,"['gagal', 'login']","['gagal', 'login']","gagal, login"
Ronanda Hardiyan,1,PELAYANAN SEPERTI SAMPAH INGIN MENGAJUKAN PENUTUPAN AKUN SAJA SANGAT SULIT RESPON LIVE CHAT SANGAT BURUK SEKALI,pelayanan seperti sampah ingin mengajukan penutupan akun saja sangat sulit respon live chat sangat buruk sekali,pelayanan seperti sampah ingin mengajukan penutupan akun saja sangat sulit respon live chat sangat buruk sekali,"['pelayanan', 'seperti', 'sampah', 'ingin', 'mengajukan', 'penutupan', 'akun', 'saja', 'sangat', 'sulit', 'respon', 'live', 'chat', 'sangat', 'buruk', 'sekali']","['pelayanan', 'sampah', 'mengajukan', 'penutupan', 'akun', 'sulit', 'respon', 'live', 'chat', 'buruk']","layan, sampah, aju, tutup, akun, sulit, respon, live, chat, buruk"
Dadi Suwardi,4,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
Deni Deni Permana,3,Proses ufgrad ke premium sangat lama,proses ufgrad ke premium sangat lama,proses ufgrad ke premium sangat lama,"['proses', 'ufgrad', 'ke', 'premium', 'sangat', 'lama']","['proses', 'ufgrad', 'premium']","proses, ufgrad, premium"
Sukran Mahyadi,1,Pas pengaduan kendala nya gak bisa ngetik keluhan kecewa,pas pengaduan kendala nya gak bisa ngetik keluhan kecewa,pas pengaduan kendala ya tidak bisa mengetik keluhan kecewa,"['pas', 'pengaduan', 'kendala', 'ya', 'tidak', 'bisa', 'mengetik', 'keluhan', 'kecewa']","['pas', 'pengaduan', 'kendala', 'mengetik', 'keluhan', 'kecewa']","pas, adu, kendala, etik, keluh, kecewa"
Bangg Al,5,,,,[],[],
nayla nayla,1,Aplikasi Bahlul ruwet REPOT mau isi saldo,aplikasi bahlul ruwet repot mau isi saldo,aplikasi bahlul ruwet repot mau isi saldo,"['aplikasi', 'bahlul', 'ruwet', 'repot', 'mau', 'isi', 'saldo']","['aplikasi', 'bahlul', 'ruwet', 'repot', 'isi', 'saldo']","aplikasi, bahlul, ruwet, repot, isi, saldo"
Riswina Amelia Ritonga,1,Aplikasi ribet top up kesini aja saldonya harus genap transfer ke bank biaya admin nya besar nggk guna aplikasi ini diciptakan,aplikasi ribet top up kesini aja saldonya harus genap transfer ke bank biaya admin nya besar nggk guna aplikasi ini diciptakan,aplikasi ribet top up kesini saja saldoya harus genap transfer ke bank biaya admin ya besar tidak guna aplikasi ini diciptakan,"['aplikasi', 'ribet', 'top', 'up', 'kesini', 'saja', 'saldoya', 'harus', 'genap', 'transfer', 'ke', 'bank', 'biaya', 'admin', 'ya', 'besar', 'tidak', 'guna', 'aplikasi', 'ini', 'diciptakan']","['aplikasi', 'ribet', 'top', 'up', 'kesini', 'saldoya', 'genap', 'transfer', 'bank', 'biaya', 'admin', 'aplikasi', 'diciptakan']","aplikasi, ribet, top, up, kesini, saldoya, genap, transfer, bank, biaya, admin, aplikasi, cipta"
Mustika Dewi,1,saya unistal aplikasi ini pertanggal,saya unistal aplikasi ini pertanggal,saya unistal aplikasi ini pertanggal,"['saya', 'unistal', 'aplikasi', 'ini', 'pertanggal']","['unistal', 'aplikasi', 'pertanggal']","unistal, aplikasi, tanggal"
Pengguna Google,1,Hapus aja aplikasinya ga guna ganti nomor lama linkaja dengan yang baru ga bisa Ga ada solusi App sampah,hapus aja aplikasinya ga guna ganti nomor lama linkaja dengan yang baru ga bisa ga ada solusi app sampah,hapus saja aplikasinya tidak guna tidaknti nomor lama linksaja dentidakn yang baru tidak bisa tidak ada solusi app sampah,"['hapus', 'saja', 'aplikasinya', 'tidak', 'guna', 'tidaknti', 'nomor', 'lama', 'linksaja', 'dentidakn', 'yang', 'baru', 'tidak', 'bisa', 'tidak', 'ada', 'solusi', 'app', 'sampah']","['hapus', 'aplikasinya', 'tidaknti', 'nomor', 'linksaja', 'dentidakn', 'solusi', 'app', 'sampah']","hapus, aplikasi, tidaknti, nomor, linksaja, dentidakn, solusi, app, sampah"
putri sulung,2,Kurang memuaskn,kurang memuaskn,kurang memuaskn,"['kurang', 'memuaskn']",['memuaskn'],memuaskn
Obet Gogon,3,bad,bad,bad,['bad'],['bad'],bad
Honda Sonic 150R,1,Pelayanan chat linkaja buruk sekali masalah blum selesai main tutup aja gak jelas harus hati,pelayanan chat linkaja buruk sekali masalah blum selesai main tutup aja gak jelas harus hati,pelayanan chat linksaja buruk sekali masalah belum selesai main tutup saja tidak jelas harus hati,"['pelayanan', 'chat', 'linksaja', 'buruk', 'sekali', 'masalah', 'belum', 'selesai', 'main', 'tutup', 'saja', 'tidak', 'jelas', 'harus', 'hati']","['pelayanan', 'chat', 'linksaja', 'buruk', 'selesai', 'main', 'tutup', 'hati']","layan, chat, linksaja, buruk, selesai, main, tutup, hati"
Ahmad Bari,4,Sangat membantu aplikasih ringan dan memiliki banyak fitur menarik dari harga yang lebih murah dan stantar saya dua kali parivikasih gagal dan merupakan bentuk keamanan dari aplikasih linkaja pokoknya saya suka dan sangat membantu,sangat membantu aplikasih ringan dan memiliki banyak fitur menarik dari harga yang lebih murah dan stantar saya dua kali parivikasih gagal dan merupakan bentuk keamanan dari aplikasih linkaja pokoknya saya suka dan sangat membantu,sangat membantu aplikasih ringan dan memiliki banyak fitur menarik dari harga yang lebih murah dan stantar saya dua kali parivikasih gagal dan merupakan bentuk keamanan dari aplikasih linkaja pokoknya saya suka dan sangat membantu,"['sangat', 'membantu', 'aplikasih', 'ringan', 'dan', 'memiliki', 'banyak', 'fitur', 'menarik', 'dari', 'harga', 'yang', 'lebih', 'murah', 'dan', 'stantar', 'saya', 'dua', 'kali', 'parivikasih', 'gagal', 'dan', 'merupakan', 'bentuk', 'keamanan', 'dari', 'aplikasih', 'linkaja', 'pokoknya', 'saya', 'suka', 'dan', 'sangat', 'membantu']","['membantu', 'aplikasih', 'ringan', 'memiliki', 'fitur', 'menarik', 'harga', 'murah', 'stantar', 'kali', 'parivikasih', 'gagal', 'bentuk', 'keamanan', 'aplikasih', 'linkaja', 'pokoknya', 'suka', 'membantu']","bantu, aplikasih, ringan, milik, fitur, tarik, harga, murah, stantar, kali, parivikasih, gagal, bentuk, aman, aplikasih, linkaja, pokok, suka, bantu"
ivone octavia Paath,1,Ini sudah lewat dari x jam sejak saya top up tapcash gagal Uang belum masuk saldo belum ada refund Kejadian ini sudah ke x Dan ini respon terlama,ini sudah lewat dari x jam sejak saya top up tapcash gagal uang belum masuk saldo belum ada refund kejadian ini sudah ke x dan ini respon terlama,ini sudah lewat dari kali jam sejak saya top up tapcash gagal uang belum masuk saldo belum ada refund kejadian ini sudah ke kali dan ini respon terlama,"['ini', 'sudah', 'lewat', 'dari', 'kali', 'jam', 'sejak', 'saya', 'top', 'up', 'tapcash', 'gagal', 'uang', 'belum', 'masuk', 'saldo', 'belum', 'ada', 'refund', 'kejadian', 'ini', 'sudah', 'ke', 'kali', 'dan', 'ini', 'respon', 'terlama']","['kali', 'jam', 'top', 'up', 'tapcash', 'gagal', 'uang', 'masuk', 'saldo', 'refund', 'kejadian', 'kali', 'respon', 'terlama']","kali, jam, top, up, tapcash, gagal, uang, masuk, saldo, refund, jadi, kali, respon, lama"
Yudika Harefa,5,Bagus,bagus,bagus,['bagus'],['bagus'],bagus
Kayrendra Putra31,1,pemeliharaaan mulu ini apk anjingg nii bangsatt dahh,pemeliharaaan mulu ini apk anjingg nii bangsatt dahh,pemeliharaaan mulu ini apk anjingg ini bangsatt dah,"['pemeliharaaan', 'mulu', 'ini', 'apk', 'anjingg', 'ini', 'bangsatt', 'dah']","['pemeliharaaan', 'mulu', 'apk', 'anjingg', 'bangsatt', 'dah']","pemeliharaaan, mulu, apk, anjingg, bangsatt, dah"
Okto Vianto,2,apakah sepenuhnya aman identitas kita setelah upgrade akun,apakah sepenuhnya aman identitas kita setelah upgrade akun,apakah sepenuhnya aman identitas kita setelah upgrade akun,"['apakah', 'sepenuhnya', 'aman', 'identitas', 'kita', 'setelah', 'upgrade', 'akun']","['sepenuhnya', 'aman', 'identitas', 'upgrade', 'akun']","sepenuh, aman, identitas, upgrade, akun"
kisrawia Kis,5,Suka,suka,suka,['suka'],['suka'],suka
Jefri Irawan,1,Saya top up Yang masuk cuma juta CS ngga bisa di hubungi Aplikasi apa ini Bukti Top up nya pun ada Saldo nya ngga masuk,saya top up yang masuk cuma juta cs ngga bisa di hubungi aplikasi apa ini bukti top up nya pun ada saldo nya ngga masuk,saya top up yang masuk cuma juta customer service tidak bisa di hubungi aplikasi apa ini bukti top up ya pun ada saldo ya tidak masuk,"['saya', 'top', 'up', 'yang', 'masuk', 'cuma', 'juta', 'customer', 'service', 'tidak', 'bisa', 'di', 'hubungi', 'aplikasi', 'apa', 'ini', 'bukti', 'top', 'up', 'ya', 'pun', 'ada', 'saldo', 'ya', 'tidak', 'masuk']","['top', 'up', 'masuk', 'juta', 'customer', 'service', 'hubungi', 'aplikasi', 'bukti', 'top', 'up', 'saldo', 'masuk']","top, up, masuk, juta, customer, service, hubung, aplikasi, bukti, top, up, saldo, masuk"
Sheng L,1,Aplikasi tololl Logout mulu Dasar aplikasi goublok,aplikasi tololl logout mulu dasar aplikasi goublok,aplikasi tololl logout mulu dasar aplikasi goublok,"['aplikasi', 'tololl', 'logout', 'mulu', 'dasar', 'aplikasi', 'goublok']","['aplikasi', 'tololl', 'logout', 'mulu', 'dasar', 'aplikasi', 'goublok']","aplikasi, tololl, logout, mulu, dasar, aplikasi, goublok"
0812_ Gilang Muhammad Faisal,1,APLIKASI PALING TOLOL DAN GAK BERGUNA SE ALAM SEMESTA INI CS NYA GAK JELAS YANH MAU PAKE APLIKASI INI TOLONG DI PIKIRIN LAGI DAHNAJIS TUJUH TURUNAN,aplikasi paling tolol dan gak berguna se alam semesta ini cs nya gak jelas yanh mau pake aplikasi ini tolong di pikirin lagi dahnajis tujuh turunan,aplikasi paling tolol dan tidak berguna se alam semesta ini customer service ya tidak jelas yanh mau pakai aplikasi ini tolong di pikirin lagi dahnajis tujuh turunan,"['aplikasi', 'paling', 'tolol', 'dan', 'tidak', 'berguna', 'se', 'alam', 'semesta', 'ini', 'customer', 'service', 'ya', 'tidak', 'jelas', 'yanh', 'mau', 'pakai', 'aplikasi', 'ini', 'tolong', 'di', 'pikirin', 'lagi', 'dahnajis', 'tujuh', 'turunan']","['aplikasi', 'tolol', 'berguna', 'alam', 'semesta', 'customer', 'service', 'yanh', 'pakai', 'aplikasi', 'tolong', 'pikirin', 'dahnajis', 'tujuh', 'turunan']","aplikasi, tolol, guna, alam, semesta, customer, service, yanh, pakai, aplikasi, tolong, pikirin, dahnajis, tujuh, turun"
