stemming,label,weight,Rating
"pakai, linkaja, top, up, hasil, saldo, komplinnya, susah, banget, aplikasi",positive,0 + 0 + 5 + 0 + 3 + 2 + 0 + 0 + 1 + 0 = 11,1
"bagus, bayar",negative,-2 + -1 = -3,5
"update, premium, banget",positive,0 + 2 + 1 = 3,1
"aplikasi, errortidak, isi, saldo, transaksi, apa, baik",positive,0 + 0 + -2 + 2 + 4 + 0 + -3 = 1,3
bantu,negative,-3 = -3,5
"top, up, bank, masuk, proses, saldo, masuk, milik, bank, tolong, jasa, kak",positive,5 + 0 + 0 + 0 + 1 + 2 + 0 + 1 + 0 + -3 + 4 + 0 = 10,5
"layan, buruk, kendala, live, chat, kali, respon, timbang, castemer, hubung",positive,-2 + 0 + 0 + 3 + 3 + 0 + 2 + 0 + 0 + -1 = 5,1
"linkaja, aman, nyaman, fitur, login, pakai, sidik, jari, pakai, thema, gelap, moga, kembang, lagiterima, kasih",positive,0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 + 3 + 0 + -2 = 6,5
"kurang, apk, linkaja, nisa, tarik, tunai, sesuai, ingin, custom, tarik, tunai, etik, leluasa, transaksi, tarik, tunai",positive,0 + 0 + 0 + 0 + 2 + 3 + 3 + 0 + 0 + 2 + 3 + 0 + 0 + 4 + 2 + 3 = 22,5
"mudah, mudah, saldo",negative,-4 + -4 + 2 = -6,5
"apl, tololregistrasi, tunggu, jam, tau, gagallive, chat, gunatidak, komplain",positive,0 + 0 + -1 + 0 + 0 + 0 + 3 + 0 + 0 = 2,1
"salah, masuk, otp, langsung, main, blok, akun, blok, menit, coba, masuk, blok, coba, besok, blok, mending, uninstal, apk, sampah",negative,0 + 0 + 0 + 3 + -2 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + -2 + 0 + 0 + -2 + 0 + 0 + 0 = -5,1
"apk, maling, haram, jadah, apk",negative,0 + 0 + 0 + 0 + 0 = 0,1
"isi, saldo, indomart, gagal, mulu, kode",negative,-2 + 2 + 0 + 0 + -2 + 0 = -2,3
"buruk, dompet, digital, linkaja, dompet, digital, aplikasi, buruk, layan, buruk, uang, nyangkut, tindak, nyangkut, forever, livechat, respon, email",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 = 0,1
"transfer, bank, pakai, adm, kayak, dompet, belah",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,5
"gagal, login",negative,0 + 0 = 0,5
"layan, sampah, aju, tutup, akun, sulit, respon, live, chat, buruk",positive,-2 + 0 + 0 + 0 + 0 + 0 + 2 + 3 + 3 + 0 = 6,1
bantu,negative,-3 = -3,4
"proses, ufgrad, premium",positive,1 + 0 + 2 = 3,3
"pas, adu, kendala, etik, keluh, kecewa",positive,3 + 0 + 0 + 0 + 0 + 0 = 3,1
nan,negative,0 = 0,5
"aplikasi, bahlul, ruwet, repot, isi, saldo",negative,0 + 0 + 0 + 0 + -2 + 2 = 0,1
"aplikasi, ribet, top, up, kesini, saldoya, genap, transfer, bank, biaya, admin, aplikasi, cipta",positive,0 + 0 + 5 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 5,1
"unistal, aplikasi, tanggal",negative,0 + 0 + 0 = 0,1
"hapus, aplikasi, tidaknti, nomor, linksaja, dentidakn, solusi, app, sampah",positive,0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 = 3,1
memuaskn,negative,0 = 0,2
bad,negative,0 = 0,3
"layan, chat, linksaja, buruk, selesai, main, tutup, hati",negative,-2 + 3 + 0 + 0 + -2 + -2 + 0 + -2 = -5,1
"bantu, aplikasih, ringan, milik, fitur, tarik, harga, murah, stantar, kali, parivikasih, gagal, bentuk, aman, aplikasih, linkaja, pokok, suka, bantu",negative,-3 + 0 + -2 + 1 + 0 + 2 + 3 + -3 + 0 + 0 + 0 + 0 + 4 + 0 + 0 + 0 + -3 + -3 + -3 = -7,4
"kali, jam, top, up, tapcash, gagal, uang, masuk, saldo, refund, jadi, kali, respon, lama",positive,0 + 0 + 5 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + -1 + 0 + 2 + 0 = 8,1
bagus,negative,-2 = -2,5
"pemeliharaaan, mulu, apk, anjingg, bangsatt, dah",negative,0 + -2 + 0 + 0 + 0 + 0 = -2,1
"sepenuh, aman, identitas, upgrade, akun",negative,0 + 0 + 0 + 0 + 0 = 0,2
suka,negative,-3 = -3,5
"top, up, masuk, juta, customer, service, hubung, aplikasi, bukti, top, up, saldo, masuk",positive,5 + 0 + 0 + 2 + 0 + 0 + -1 + 0 + 0 + 5 + 0 + 2 + 0 = 13,1
"aplikasi, tololl, logout, mulu, dasar, aplikasi, goublok",negative,0 + 0 + 0 + -2 + 0 + 0 + 0 = -2,1
"aplikasi, tolol, guna, alam, semesta, customer, service, yanh, pakai, aplikasi, tolong, pikirin, dahnajis, tujuh, turun",negative,0 + 0 + 1 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + -1 = -5,1
"bayar, internet, iconnet, kecewa, maaf, uninstall",negative,-1 + 0 + 0 + 0 + -2 + 0 = -3,1
"upgrade, full, service, gagal, upload, identitassaya, kasih, ranting",negative,0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 = -2,1
"woyy, batidakimana, transfer, duit, gue, yangkut, bayak, customer, service, hubung, kacauuuuuu, batidakimana, sihhhhhh, woy, tidakbisa, transfer, beli, pulsa, jutidak, parahhhhh",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 = -3,1
"kocak, scan, qris, gagal, guna, isi, saldo",positive,0 + 0 + 0 + 0 + 1 + -2 + 2 = 1,1
"hatihati, top, up, linkaja, top, up, emoney, rp, linkaja, saldo, linkaja, potong, transaksi, sukses, saldo, emoney, tambah, update, saldo, atm, mandiri, linkaja, top, up, emoney, rp, indomaret, saldo, masuk, hubung, pusat, bantu, linkaja, solusi, livechat, guna",positive,0 + 5 + 0 + 0 + 5 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 4 + 3 + 2 + 0 + 3 + 0 + 2 + 0 + 0 + 0 + 5 + 0 + 0 + 0 + 0 + 2 + 0 + -1 + 3 + -3 + 0 + 3 + 0 + 1 = 36,1
"mohon, sistem, ubah, login, pakai, nomer, whatsapp, sms",negative,-2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -2,5
"kasih, full",negative,-2 + 0 = -2,5
"hp, instal, ulang, aplikasi, hapus, sim, card, pakai, login, aplikasi, kode, otp, saldo, tolongin",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 = 2,1
ok,positive,4 = 4,5
"masuk, login, akun, ssaja, susah, ampun, suruh, hubungin, call, center, live, chat, bot, ssaja, temu, solusi, ai",positive,0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 3 + 3 + 0 + 0 + 2 + 3 + 0 = 10,1
"costumer, service, bantu, langsung, close, chat, pasudahal, tunggu, antri",positive,0 + 0 + -3 + 3 + 0 + 3 + 0 + -1 + 0 = 2,1
"layan, buruk, komplain",negative,-2 + 0 + 0 = -2,1
"verifikasi, selesai, saldo, tarik, customer, service, respon, dwd, aplikasi, saldo",positive,0 + -2 + 2 + 2 + 0 + 0 + 2 + 0 + 0 + 2 = 6,1
"daftar, aneh, bdg",negative,-1 + -4 + 0 = -5,1
"bagus, kak, aplikasi",negative,-2 + 0 + 0 = -2,5
"apk, live, chat, boot, respon, transfer, maleman, hasil, saldo, link, tambah, apk",positive,0 + 3 + 3 + 0 + 2 + 0 + 0 + 3 + 2 + 0 + 3 + 0 = 16,1
"kali, upgrade, hasil, tolong, kembali, uang, kirim, linkaja",positive,0 + 0 + 3 + -3 + 0 + 0 + 2 + 0 = 2,1
"tarik, indomaret, eror, tarik, atm, aneh",negative,2 + 0 + 0 + 2 + 0 + -4 = 0,1
nan,negative,0 = 0,5
"cuman, yag, bayak, kendala, malam, ganggu, tidur, kali, sistem, posting, pakai, bintang, mah, malas, asih, bintang",negative,0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 = -6,1
"upgrade, premium",positive,0 + 2 = 2,1
"lambat, lambat, bgtcs, bot, orang, benaranudh, pasuk, pin, error",negative,1 + 1 + 0 + 0 + 0 + 0 + -2 + 0 + 0 = 0,1
"moga, lancar, aplikasiyklo, mohon, dongtd, bank, gratisyg, lai, gratis",negative,1 + -4 + 0 + -2 + 0 + 0 + 0 + 0 + 4 = -1,5
"aplikasi, malas, banget, pakai, aplikasi, jelek, isi, pulsa, gagal, buang, saldo, ssaja, top, up, link, ssaja, setanggg, putar",positive,0 + 0 + 1 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 2 + 0 + 5 + 0 + 0 + 0 + 0 + 0 = 6,1
"komplain, pakai, ah",negative,0 + 0 + 0 = 0,1
"susah, hapus, akun, kali, coba, hapus",negative,0 + 0 + 0 + 0 + -2 + 0 = -2,1
"parah, saldo, langsung, potong",positive,0 + 2 + 3 + 0 = 5,1
bagus,negative,-2 = -2,5
"update, saldo, emoney, top, up",positive,0 + 2 + 0 + 5 + 0 = 7,2
"bantu, bayar",negative,-3 + -1 = -4,5
"aplikasi, buruk, sejarah, tarik, uang, mesin, atm, gagal, saldo, potong, sesuai, uang, ambil, kirim, adu, bingung, mana, kirim, pesan, akun, sosmed, ig, terima, kirim, pesan, email, bisa, aplikasi, mana, tawar, adu, chat, bota, guna",positive,0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 2 + 0 + 3 + 0 + 0 + 2 + 0 + 0 + 0 + 2 + -2 + 0 + 0 + 0 + 2 + 2 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 1 = 15,1
"verifikasi, lmbat",negative,0 + 0 = 0,5
"kendala, oke, sssaja, solusi, lepas, tanggung, sssaja, sedia, live, chat, hubung, customer, service, susah, cari, solusi, agustus, laku, biaya, estatement, otomatis, rp, transaksi, bank, sssaja, mah, gratis, biaya, admin, biaya, transfer, bank, kapai, pakai, linksssaja",positive,0 + 2 + 0 + 3 + 0 + 0 + 0 + 2 + 3 + 3 + -1 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 3 + 0 + 4 + 0 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 26,1
"dowload, saldo, bayar, hasil",positive,0 + 2 + -1 + 3 = 4,1
"konyol, bayar, steam, saldo, potong, pop, up, web, cuman, muter, loading, tulis, transaksi, hasil, beli, steam, proses, sampah, banget, web, payment",positive,0 + -1 + 0 + 2 + 0 + 5 + 0 + 0 + 0 + 0 + 0 + 0 + 4 + 3 + -2 + 0 + 1 + 0 + 1 + 0 + 0 = 13,1
"live, chat, minggu, live, chat, buruk",positive,3 + 3 + 0 + 3 + 3 + 0 = 12,1
"tolong, livechat, fungsi, hanyaa, tulis, psajangan, menit, sayaa, coba, masuk, tunggu, respon, sayaa, tahun, pakai, apk, pas, kendala, sayaa, sadar, apk, muas, costumer, sayaa, pribadi, puas, layaananan, linksaja",positive,-3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + -1 + 2 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + -2 + 0 + 5 + 0 + 0 + 0 + 3 + 0 + 0 = 5,1
bantu,negative,-3 = -3,5
"apps, bagus",negative,0 + -2 = -2,5
"bagus, downgradenah, kagak, pakai, aplikasi, nice",positive,-2 + 0 + 0 + 0 + 0 + 4 = 2,1
"linkaja, chat, bot, tanggap, keluh, costumer, serius, keluh, customer, service, tutup, system, otomatis, email, linkaja, solusi, aplikasi, uang, rugi",positive,0 + 3 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 3 + 0 + 0 + 0 = 12,1
"halo, linksaja, syariah, jelek, kali, aplikasi, tunggu, upgrade, upgrade, kirim, customer, service, hubung, uang, kemanain, pakai, linksaja, jelek, kali",positive,1 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 2 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 = 1,1
"mohon, sngat, cepat, adakn, fitur, menu, hadiah, kirim, uang, menggunkn, amplop, maya, digital, ai, pmbayaran, pbb, seluruh, wilayah, indonesia, qr, kirim, terima, uang, layan, bebas, pulsa, panggil, vidio, digital, bas, ai, qris, tap, tap, pay, byu, isi, ulang, kartu, uang, elktronik, bank, indonesia, tapiup, saldo, dompet, digital, per, virgo, kaspro, maxim, pnumpang, tampil, beranda, linkaja, baru, biar, keren, konsep, modern, estetik, map, club, shopee",positive,-2 + 0 + -3 + 0 + 0 + 0 + -4 + 2 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 2 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + -1 + 0 + 0 + -1 + 0 + 0 + 3 + 4 + 0 + 0 + 0 = 2,5
"parah, banget, jarintidakn, bagus, kendala, koneksi, putus",negative,0 + 1 + 0 + -2 + 0 + -2 + -3 = -6,1
"aplikasi, ribet, hapus, akun, pakai, matrei, daftar, beda, aplikasi, seribet, aplikasi, layak, download, upgrade, ssaja, susah",negative,0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = -4,1
"lapor, kirim, uang, bank, hasil, saldiio, tidiiak, masuk, diian, saldiio, sudiiah, kpotong, bantu, livechat, tidiiak, blz, bot, dii, tunggu, kali, jam, uang, tidiak, masuk, lapor, kmanaaa, tidiak, dii, instal, aplikasi, kayak, rugi, orang",positive,2 + 2 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 5,1
"aju, upgradenya, lamasangat, payah",negative,0 + 0 + 0 + 0 = 0,1
"kirim, qris, riwayat, gagal, saldo, kepotonguang, tujuanmohon, bantu, admin, linkaja",positive,2 + 0 + 0 + 0 + 2 + 0 + 0 + -3 + 0 + 0 = 1,1
ok,positive,4 = 4,1
"biasaya, isi, saldo, tv, kabel, kvision, menu",negative,0 + -2 + 2 + 0 + 0 + 0 + 0 = 0,1
"habis, top, up, nomor, masuk, salah, angka, tolong, link, nomor, call, center, aktif, tarik, nomor, hasil, top, up, nomor, aktif, mohon, bantuanya",positive,-3 + 5 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + -2 + 2 + 0 + 3 + 5 + 0 + 0 + -2 + -2 + 0 = 3,1
"apl, rugi, transfer, pending, uang, alas, sukses, apl, pending",positive,0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 = 3,1
"transaksi, lot, tanggal, smapai, transaksi, pakai, qris, proses",positive,4 + 0 + 0 + 0 + 4 + 0 + 0 + 1 = 9,1
"expect, banget, aplikasi, niat, transaksi, pakai, aplikasi, eh, kode, verifikasi, pesan, pesan, klik, koneksi, putus, kuota, bayak, coba, updgrade, full, service, eh, isi, tidaktidakl, coba, besok, hadeh, top, up, saldo, ribu, tarik, dana, upgrade, ribet, banget, niat, mudah, transaksi, link, eh, kacau, chat, chat, otomatis, kasih, solusi",positive,0 + 1 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + -2 + -2 + 0 + -2 + -3 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + -2 + 0 + -2 + 0 + 0 + 5 + 0 + 2 + 0 + 2 + 4 + 0 + 0 + 1 + 0 + -4 + 4 + 0 + 0 + 0 + 3 + 3 + 3 + -2 + 3 = 14,1
"linksssaja, an, anjing, fakta, sssudah, sayang, upload, tiktok, dibilangnyang, login, nomor, beda, hanyang, nomor, yangng, login, nomor, milik, samsung, as, milik, hp, sssaja, hp, second, yangng, sayang, beli, ssudah, tunggu, besok, besok, besok, sssaja, login, nomor, hp, ssudah, terahir, gunain, saldo, linksssaja, hhabis, bayangr, shopee, hhabis, buang, sssaja, akun, linksssaja",negative,0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 + 0 + 0 + 1 + 0 + 0 + 0 + 0 + 0 + -3 + -2 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -5,1
"kecewa, aplikasi, uninstall",negative,0 + 0 + 0 = 0,1
"error, mulu",negative,0 + -2 = -2,1
"upgradenya, tarik, tunai",positive,0 + 2 + 3 = 5,2
"pindahin, saldo, upgrade, akun, okey, langsung, mentidakjukan, banget, makan, ber, jamjam, jam, jutidak, selesai, proses, asa, ewallet, banget, proses, upgrade, akun, hituntidakn, jam, jutidak, done, bad, banget, tidakbisa, pakai, transaksi, urgent, akses, chat, live, agent, tidaktidakl, apaansi",positive,0 + 2 + 0 + 0 + 0 + 3 + 0 + 1 + -1 + 0 + 0 + 0 + 0 + -2 + 1 + -3 + 0 + 1 + 1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 + 0 + 0 + 4 + 0 + 2 + 3 + 3 + 0 + 0 + 0 = 16,2
ok,positive,4 = 4,5
"daftar, akun, form, isi, nama, lengkap, alas, tulis, nama, lengkap, nama, lengkap, nama, sut, bgaimna",negative,-1 + 0 + 0 + -2 + 0 + -2 + 0 + 0 + 0 + -2 + 0 + -2 + 0 + 0 + 0 = -9,1
"mantap, ragu, linkaja, oke, oye",positive,5 + 0 + 0 + 2 + 0 = 7,5
"respon, customer, service, selesai, langgan, keluh, saldo, juta, masuk, detik, bukti, transfer, tolong, copot, apk, bahaya, korban",positive,2 + 0 + 0 + -2 + 2 + 0 + 2 + 2 + 0 + 0 + 0 + 0 + -3 + -1 + 0 + 0 + 0 = 2,1
"saran, semuaya, pakai, aplikasi, langsung, uninstall, top, up, bermingguminggu, dana, masukmasuk, susa, csya, hubung, hubung, live, chat, agen, respon, berjamjam, tunggu, akhirya, sistem, tutup, obrol, bagus, kerjaya, profesional",positive,-2 + 0 + 0 + 0 + 3 + 0 + 5 + 0 + 0 + 4 + 0 + 0 + 0 + -1 + -1 + 3 + 3 + 0 + 2 + 0 + -1 + 0 + 0 + 0 + 0 + -2 + 0 + 0 = 13,1
"abgred, kirim, nih",positive,0 + 2 + 0 = 2,1
"live, chat, selsaikan, balesan, live, chat, auto, pilot",positive,3 + 3 + 0 + 0 + 3 + 3 + 0 + 0 = 12,1
"lambat, responsif, agen, cbat, agen, no, respon",positive,1 + 0 + 0 + 0 + 0 + 0 + 2 = 3,1
"layan, proses, premium, nih, cepat",negative,-2 + 1 + 2 + 0 + -3 = -2,4
"trf, bank, hasil, saldo, linkaja, masuk, tuh",positive,0 + 0 + 3 + 2 + 0 + 0 + 0 = 5,5
good,positive,5 = 5,4
"lambat, uprage, akun, selesai, nyang",negative,1 + 0 + 0 + -2 + 0 = -1,5
"trakhir, nih, gue, topup, linkajaorang, butuh, ambil, uang, nyaupgrade, data, foto, ktp, sudahdi, suruh, senyum, bilang, beda, ktp, gue, sangkutin, rek, bni, gue, seribet, ambil, uang, gue, gue, top, up, kapok",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 5 + 0 + 0 = 6,1
"payah, aplikasi, digipost, login, hilang, langgan",negative,0 + 0 + 0 + 0 + -3 + 2 = -1,1
"pakai, linkaja, kali, kendala, top, up, masuk, pentidakduan, live, chat, jutidak, respon, kecewa",positive,0 + 0 + 0 + 0 + 5 + 0 + 0 + 0 + 3 + 3 + 0 + 2 + 0 = 13,1
"aplikasi, aneh",negative,0 + -4 = -4,1
"coba, perdana, isi, e, money, pakai, aplikasi, saldo, linkaja, potong, saldo, e, money, tambah, klik, tombol, bantu, mesin, otomatis, hari, jelas, mana, lari, saldo, potong",positive,-2 + 0 + -2 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 2 + 0 + 0 + 3 + 0 + 0 + -3 + 0 + 3 + 0 + -1 + 0 + 0 + 2 + 0 = 4,1
"halo, knapa, transaksi, pending, saldo, potong",positive,1 + 0 + 4 + 0 + 2 + 0 = 7,1
"tolong, direspon, pentidakduan, isi, saldo, rek, bank, baca, saldo, kurang, bukti, transfer, respon, saldo, link, ssaja, tipu, namaya",negative,-3 + 0 + 0 + -2 + 2 + 0 + 0 + -3 + 2 + 0 + 0 + 0 + 2 + 2 + 0 + 0 + 0 + 0 = 0,1
"livechat, susah, hubung, bot, kali, ulang, opsi, email, center",negative,0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 = -1,1
"upload, foto, ktp, rapi, n, terbacaa",negative,0 + 3 + 0 + -3 + 0 + 0 = 0,1
"gmail, pulih, login",negative,0 + 0 + 0 = 0,1
lumayan,negative,-1 = -1,4
"jaring, lot, transaksi, via, linkaja, tolong, baik, siyal, hp, bagus",negative,3 + 0 + 4 + 0 + 0 + -3 + -3 + 0 + 0 + -2 = -1,1
"upgrade, full, service",negative,0 + 0 + 0 = 0,1
"transaksi, via, qr, status, gagal, saldo, potong, aju, respon, percaya, link",positive,4 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 2 + 2 + 0 = 10,5
"beli, pulsa, pending, masuk, lapor, ribet, masuk, pulsa, sebel, kecewa, pol",negative,-2 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"aplikasi, ngotak, admiya, mahal, banding, admin, isi, tunai, brilink, jenis, nominal, tari, saldo, batas",positive,0 + 0 + 0 + 1 + -3 + 0 + -2 + 3 + 0 + 0 + 0 + 1 + 2 + 0 = 2,1
"susah, banget, ngehubungin, admin, ganti, nomor, telpon, nih, aplikasi, beda, aplikasi, dana, gopay",positive,0 + 1 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 4 + 0 = 2,1
"aplikasi, busuk, bikin, adu, tunggu, tersmbung, customer, service, jam, nyambung",negative,0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 = -1,1
"tuju, ruwet, kali, bulak, verevikasasi, sulit",negative,-3 + 0 + 0 + 0 + 0 + 0 = -3,2
"isi, pulsa, telkomsel, proses",negative,-2 + 0 + 0 + 1 = -1,3
login,negative,0 = 0,5
"tranfer, potong, saldo, sukses, terima, terima, complain, pusat, bantu",positive,0 + 0 + 2 + 3 + 2 + 2 + 0 + 3 + -3 = 9,1
"jaring, buruk, customer, service, bantu, pas, kendala",positive,3 + 0 + 0 + 0 + -3 + 3 + 0 = 3,2
"call, center, email",negative,0 + 0 + 0 = 0,1
"link, kadang, paham, ikat, ktp, nomor, tlpn, tolong, mati, link, link, nomor, beda, gantinl, acount",negative,0 + 3 + 0 + -1 + 0 + 0 + 0 + -3 + -4 + 0 + 0 + 0 + 0 + 0 + 0 = -5,5
"layan, jelek, banget, pakai, aplikasi, link, bubu, hapus, indonesia",negative,-2 + 0 + 1 + 0 + 0 + 0 + 0 + 0 + 0 = -1,1
mantap,positive,5 = 5,5
"biasaya, sihh, aman, tarik, tunai, atm, linksaja, tnggal, kemarin, kecewa, banget, atm, terang, berhasihl, terang, sihtu, atm, keluar, uang, disihtu, lah, atm, kosong, uangya, status, transaksih, berhasihl, saldo, komplen, via, livechat, berhasihl, kejelasaya, uang, atm, saldo, potong, kecewa",positive,0 + 0 + 0 + 2 + 3 + 0 + 0 + 0 + 0 + 0 + 1 + 0 + -2 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 = 6,2
"malas, pakai, link, admin, gede, banget, najis",negative,0 + 0 + 0 + 0 + -2 + 1 + 0 = -1,1
"aplikasi, swasta, perintah, min",negative,0 + 0 + 0 + 0 = 0,4
"bebannnnnn, bikin, susah, customer, service, respon, aplikasi, beban",positive,0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 = 2,1
makan,negative,-1 = -1,4
"hoi, maling",negative,0 + 0 = 0,5
"daftarlogin, link, lapor, customer, service, kataya, no, hp, suspend, indikasi, tipu, maksud, nipu",negative,0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + -3 + 0 = -3,1
"selamat, pagi, ibubapak, tolong, cerah, beku, dana, cair, customer, service, nyuruh, transfer, kali, transfer, ambil, uang, disi, tolong, proses, aju, transfer, dana, pinjam, sanak, keluarga",positive,5 + -1 + 0 + -3 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 1 + 0 + 0 + 4 + 0 + 0 + -4 = 3,1
"masuk, linkaja, email",negative,0 + 0 + 0 = 0,3
"isi, saldo, indomaret, ssssaja, banget, taya, costumer, service, nemu, parah, nih, layan, mending, unihstall, ssssaja, eror, melulu, rugi, ssssaja, mending, afk, ssssaja, aplikasi",negative,-2 + 2 + 0 + 0 + 1 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 = -5,1
"bossku, ganti, nomor, rusak, mati, ubah, nomor, hp",negative,0 + -3 + 0 + -3 + -4 + 0 + 0 + 0 = -10,4
transfer,negative,0 = 0,1
"upgrade, premium, banget",positive,0 + 2 + 1 = 3,3
"samaau, balikin, saldo, baca, sulit, banget",negative,0 + 0 + 2 + -3 + 0 + 1 = 0,1
"min, transaksi, scan, barcode, saldo, susah, kayakng, mohon, direspon",positive,0 + 4 + 0 + 0 + 2 + 0 + 0 + -2 + 0 = 4,5
"live, chat, dibalesnya, jam",positive,3 + 3 + 0 + 0 = 6,1
"tolong, linksaja, tanggung, saldo, kirim, linksaja, dana, masuk, balikin, ulang, link",positive,-3 + 0 + 0 + 2 + 2 + 0 + 4 + 0 + 0 + 0 + 0 = 5,1
"link, buruk, benget, mah, transaksi, gagal, chat, email, langsung, bantu, pakai, live, chat, balas, bot, terang, sukses, riwayat, transaksi, pending, proses, tolong, baik, kali, kayak",positive,0 + 0 + 0 + 0 + 4 + 0 + 3 + 0 + 3 + -3 + 0 + 3 + 3 + -1 + 0 + -2 + 3 + 0 + 4 + 0 + 1 + -3 + -3 + 0 + 0 = 12,1
"upgrade, full, service, gagal",negative,0 + 0 + 0 + 0 = 0,1
"masuk, baharu",negative,0 + 0 = 0,4
"oke, deh",positive,2 + 0 = 2,1
"upgrade, full, service, isih, saldo, beli, tiket, acc, jmbt",negative,0 + 0 + 0 + 0 + 2 + -2 + 0 + 0 + 0 = 0,2
good,positive,5 = 5,5
"bagus, bro, ok, mantap",positive,-2 + 0 + 4 + 5 = 7,5
"alam, buruk, apk, luncur, verifikasi, banget",negative,-2 + 0 + 0 + 0 + 0 + 1 = -1,2
